"brand","model","processor_brand","processor_name","processor_gnrtn","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews"
"HP","HP","Intel","Core i5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",2,"Casual","16",1,"Yes","Yes",76990,99203,22,4.4,14,2
"HP","HP","Intel","Core i7","11th",16,"DDR4","1024 GB","0 GB","Windows","64-bit",2,"Casual","13.3",1,"No","Yes",94990,160134,40,0.0,0,0
"HP",,"Intel","Core i3","10th",4,"DDR4","512 GB","0 GB","Windows","32-bit",0,"Casual","15.6",0,"No","No",38799,47916,19,4.4,30,1
"HP",,"Intel","Core i3","10th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",42490,50294,15,4.3,1296,126
"HP",,"Intel","Core i3","11th",4,"DDR4","0 GB","1024 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",41990,47264,11,4.0,69,5
"HP",,"Intel","Core i3","11th",4,"DDR4","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",44376,45376,2,4.2,1090,96
"HP",,"Intel","Core i3","11th",4,"DDR4","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",44900,51000,11,4.2,1029,107
"HP",,"Intel","Core i3","11th",4,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",47990,51165,6,4.3,1605,215
"HP",,"Intel","Core i3","11th",4,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",48900,50000,2,4.3,1278,135
"HP",,"Intel","Core i3","11th",8,"DDR4","256 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","Yes",39990,50085,20,4.2,273,30
"HP",,"Intel","Core i3","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","15.6",0,"No","No",45650,55202,17,4.1,39,4
"HP",,"Intel","Core i3","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","15.6",1,"No","No",41250,46602,11,4.1,117,11
"HP",,"Intel","Core i3","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",0,"No","No",44990,52900,14,0.0,0,0
"HP",,"Intel","Core i3","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",42990,49590,13,4.3,681,59
"HP",,"Intel","Core i3","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",42990,57330,25,4.4,158,18
"HP",,"Intel","Core i3","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",43970,50196,12,4.3,571,56
"HP",,"Intel","Core i5","11th",8,"DDR4","512 GB","0 GB","Windows","32-bit",0,"ThinNlight","14",1,"No","Yes",59999,81684,26,4.0,4,1
"HP",,"Intel","Core i5","11th",8,"DDR4","512 GB","0 GB","Windows","32-bit",4,"Casual","16",0,"No","No",82000,89000,7,0.0,0,0
"HP",,"Intel","Core i5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",0,"No","No",54990,70171,21,4.2,116,15
"HP",,"Intel","Core i5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",0,"No","No",55999,66050,15,4.8,5,1
"HP",,"Intel","Core i5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","No",53990,70171,23,4.1,206,17
"HP",,"Intel","Core i5","11th",8,"DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","Yes",61000,68000,10,4.3,1124,100
"HP",,"Intel","Core i5","7th",4,"DDR4","0 GB","1024 GB","Windows","64-bit",0,"Casual","15.6",1,"No","No",44599,0,0,4.1,122,12
"HP",,"Intel","Core i7","11th",16,"DDR4","512 GB","0 GB","Windows","32-bit",0,"Casual","16",0,"No","No",119599,195000,38,0.0,0,0
